"customer_id","quarter","customer_lifetime_value_quarterly"
5948,"2023-10-01 00:00:00+03",0.0
1199,"2024-01-01 00:00:00+02",0.0
6605,"2023-10-01 00:00:00+03",57918.33
2371,"2022-07-01 00:00:00+03",0.0
708,"2023-10-01 00:00:00+03",0.0
2216,"2022-07-01 00:00:00+03",66386.0
3048,"2022-04-01 00:00:00+03",26796.33
2560,"2022-10-01 00:00:00+03",0.0
6258,"2023-04-01 00:00:00+03",104905.33
5222,"2023-01-01 00:00:00+02",58906.33
4591,"2023-10-01 00:00:00+03",0.0
7722,"2022-04-01 00:00:00+03",28360.67
182,"2023-01-01 00:00:00+02",101099.0
4841,"2023-01-01 00:00:00+02",0.0
9477,"2023-04-01 00:00:00+03",46860.33
5132,"2023-04-01 00:00:00+03",0.0
1950,"2023-07-01 00:00:00+03",0.0
1496,"2023-01-01 00:00:00+02",0.0
8536,"2024-01-01 00:00:00+02",54574.33
2095,"2022-07-01 00:00:00+03",0.0
4432,"2022-07-01 00:00:00+03",0.0
3810,"2024-01-01 00:00:00+02",0.0
1695,"2023-04-01 00:00:00+03",0.0
1130,"2023-07-01 00:00:00+03",0.0
3270,"2022-10-01 00:00:00+03",0.0
2193,"2023-01-01 00:00:00+02",77336.33
352,"2022-04-01 00:00:00+03",0.0
6406,"2022-10-01 00:00:00+03",39520.0
4045,"2022-04-01 00:00:00+03",0.0
8561,"2022-04-01 00:00:00+03",19639.67
3849,"2023-07-01 00:00:00+03",0.0
1273,"2023-10-01 00:00:00+03",0.0
9629,"2022-04-01 00:00:00+03",0.0
1853,"2023-10-01 00:00:00+03",0.0
7419,"2023-07-01 00:00:00+03",0.0
5613,"2022-01-01 00:00:00+02",50356.33
4871,"2023-01-01 00:00:00+02",430.67
4702,"2023-01-01 00:00:00+02",50723.67
9679,"2023-01-01 00:00:00+02",0.0
1575,"2022-04-01 00:00:00+03",45910.33
7501,"2022-10-01 00:00:00+03",0.0
1150,"2023-10-01 00:00:00+03",35745.33
6058,"2023-01-01 00:00:00+02",0.0
5050,"2022-04-01 00:00:00+03",24985.0
4137,"2022-04-01 00:00:00+03",0.0
54,"2024-01-01 00:00:00+02",0.0
1630,"2023-07-01 00:00:00+03",50134.67
3193,"2023-04-01 00:00:00+03",75613.67
7730,"2024-01-01 00:00:00+02",0.0
3422,"2024-01-01 00:00:00+02",0.0
1743,"2023-01-01 00:00:00+02",28462.0
2296,"2022-10-01 00:00:00+03",0.0
2968,"2022-07-01 00:00:00+03",0.0
4684,"2023-01-01 00:00:00+02",0.0
7318,"2022-07-01 00:00:00+03",64359.33
7144,"2023-01-01 00:00:00+02",17885.33
3843,"2023-07-01 00:00:00+03",0.0
8624,"2022-04-01 00:00:00+03",0.0
1662,"2022-01-01 00:00:00+02",0.0
1252,"2023-04-01 00:00:00+03",0.0
6315,"2023-01-01 00:00:00+02",0.0
4752,"2022-01-01 00:00:00+02",0.0
4867,"2023-04-01 00:00:00+03",45080.67
7118,"2022-10-01 00:00:00+03",0.0
4391,"2023-01-01 00:00:00+02",0.0
94,"2022-04-01 00:00:00+03",0.0
5417,"2023-01-01 00:00:00+02",12153.67
4206,"2024-01-01 00:00:00+02",0.0
9978,"2022-10-01 00:00:00+03",29070.0
1852,"2023-04-01 00:00:00+03",0.0
4105,"2022-10-01 00:00:00+03",73048.67
