claim_id,claim_date,claim_amount,policy_id
1,2022-03-24,9821,8094
2,2022-09-08,7627,6511
3,2022-10-31,9541,4644
4,2023-01-01,1256,2772
5,2021-07-08,3948,8357
6,2022-11-27,8492,2728
7,2022-03-07,3706,6561
8,2022-11-01,5417,2099
9,2023-01-09,4839,5228
10,2022-03-23,8565,4822
11,2022-02-01,797,5509
12,2021-11-13,8903,7569
13,2022-02-12,5920,7218
14,2023-02-03,4474,6774
15,2021-10-30,2323,6281
16,2022-12-09,1436,3605
17,2021-12-29,2359,2817
18,2021-03-20,9526,5902
19,2022-05-27,8251,1950
20,2021-05-24,3655,7468
21,2021-10-05,5737,7951
22,2022-12-21,3102,8602
23,2023-01-06,8660,1051
24,2021-10-22,9046,5455
25,2022-11-20,2094,244
26,2023-01-19,4448,7530
27,2022-01-18,4677,5797
28,2021-12-16,3720,2240
29,2021-05-15,7034,5341
30,2022-11-04,5615,5520
31,2022-05-08,5400,6981
32,2022-03-01,100,2882
33,2021-07-03,2013,8773
34,2022-04-10,4068,8408
35,2021-08-24,4746,287
36,2023-03-05,2293,6250
37,2021-12-29,514,2950
38,2022-08-26,9133,404
39,2021-11-30,7811,5996
40,2021-08-11,613,4994
41,2022-04-21,4153,7528
42,2022-10-23,7447,819
43,2022-03-30,1445,2134
44,2021-06-20,8560,2818
45,2021-07-07,7124,8906
46,2022-03-26,3259,6102
47,2022-12-27,5471,1284
48,2021-11-07,5163,369
49,2021-12-20,6287,5918
50,2023-03-19,8105,8066
51,2022-06-18,1802,7311
52,2022-09-22,9369,7847
53,2022-03-28,9108,8376
54,2022-01-16,3983,2788
55,2021-08-19,1639,3677
56,2022-06-08,8123,4545
57,2022-08-06,2303,5359
58,2021-06-09,4964,5506
59,2022-10-17,2470,4904
60,2021-10-08,8220,4141
61,2021-04-28,2885,992
62,2021-07-25,414,7059
63,2022-09-15,5462,4192
64,2021-06-29,8227,3634
65,2022-04-28,7551,1627
66,2023-01-12,1341,6241
67,2021-07-29,5110,1037
68,2023-02-27,3095,2288
69,2022-08-10,6818,1998
70,2023-02-25,1079,7314
71,2023-01-02,6780,3427
72,2022-10-27,3338,6207
73,2021-12-24,3182,575
74,2021-09-02,6040,8131
75,2022-08-15,224,2558
76,2022-03-17,9243,5436
77,2022-06-10,1044,6801
78,2021-10-14,1169,7134
79,2021-04-24,9027,5901
80,2022-10-07,4089,4289
81,2022-02-23,6537,7400
82,2021-07-05,2857,5760
83,2022-03-13,7951,4522
84,2022-03-20,4720,2070
85,2021-08-31,5095,5354
86,2022-11-09,2140,8060
87,2021-04-19,4033,354
88,2023-02-09,1953,3374
89,2021-08-31,6268,525
90,2022-02-24,3020,7861
91,2022-03-06,6762,3041
92,2022-05-23,8779,5557
93,2021-09-22,6747,3135
94,2021-12-29,6107,3974
95,2022-06-11,3149,6185
96,2022-08-26,702,6587
97,2022-03-07,2593,3779
98,2021-11-11,1684,7510
99,2022-12-11,4512,2518
100,2021-03-31,1895,7554
101,2021-03-22,1033,1412
102,2022-02-20,6117,1500
103,2021-04-02,3097,2424
104,2022-01-14,1804,6639
105,2023-03-02,6436,398
106,2021-11-15,8839,2279
107,2022-07-06,8083,3816
108,2022-06-30,8825,8282
109,2023-03-09,9131,7145
110,2021-07-17,3209,923
111,2022-06-27,8740,3700
112,2022-05-07,8538,6960
113,2022-04-14,1663,3919
114,2022-11-12,4062,4697
115,2022-12-28,9843,7627
116,2021-11-14,1463,6216
117,2022-01-11,7644,6302
118,2021-12-28,937,6198
119,2022-10-03,9852,3578
120,2022-11-29,1694,4602
121,2022-07-17,2221,704
122,2021-07-17,3220,4941
123,2021-06-20,1415,2990
124,2022-12-07,1390,1695
125,2022-11-22,9531,8675
126,2022-10-31,8326,4476
127,2022-12-24,9230,2351
128,2021-04-19,2324,2882
129,2021-06-26,1223,5882
130,2022-07-05,5197,6512
131,2021-09-08,4778,312
132,2022-03-16,7407,1400
133,2021-11-21,5623,8599
134,2022-08-28,178,2820
135,2022-06-30,7398,1580
136,2021-05-24,8520,3257
137,2021-06-20,4523,7797
138,2022-08-10,9807,8083
139,2022-03-15,9465,3476
140,2022-10-23,7366,1984
141,2021-08-02,3507,5013
142,2022-11-16,8855,342
143,2022-10-31,227,4893
144,2021-05-02,881,2447
145,2022-04-01,2319,8495
146,2022-06-16,3284,6321
147,2022-07-10,1539,5792
148,2021-06-10,2119,8597
149,2023-01-05,4551,4342
150,2021-05-03,5107,2328
151,2023-02-15,3934,6292
152,2022-05-01,9434,6543
153,2021-03-30,4655,2591
154,2021-09-09,8563,1730
155,2021-04-14,1969,7581
156,2022-11-17,6014,964
157,2021-05-24,3619,4543
158,2021-10-19,1933,3136
159,2022-02-07,1808,3839
160,2021-12-13,3761,5317
161,2022-12-15,2561,348
162,2022-12-15,9506,6009
163,2022-04-26,6973,6768
164,2021-05-31,7361,6565
165,2021-09-23,2436,6743
166,2021-08-25,6736,792
167,2022-07-27,8019,665
168,2022-11-30,8156,4663
169,2022-05-12,8934,2434
170,2022-07-27,1910,7944
171,2022-04-16,8108,5399
172,2022-08-24,5814,1462
173,2021-06-23,9828,1860
174,2021-08-09,9145,2022
175,2023-01-15,7932,1515
176,2021-05-20,4803,8692
177,2021-12-17,726,1979
178,2021-11-02,9393,7862
179,2022-10-25,4085,6241
180,2022-10-22,6688,1083
181,2022-08-03,518,6099
182,2022-12-01,9688,4895
183,2021-11-02,9206,4748
184,2022-10-30,8495,5386
185,2022-09-10,7636,1687
186,2022-06-29,6131,4241
187,2022-05-20,7279,8387
188,2021-05-26,3983,1057
189,2022-12-02,9121,3674
190,2021-08-31,5124,6468
191,2022-10-31,8337,634
192,2022-09-17,6760,7529
193,2023-02-17,630,5330
194,2022-07-16,1583,333
195,2022-10-27,8666,4123
196,2022-11-03,7062,8898
197,2021-10-13,874,6667
198,2021-10-20,9227,3031
199,2022-09-11,8136,4238
200,2021-05-09,4082,7840
201,2022-09-09,486,1455
202,2022-02-20,3714,3927
203,2021-08-07,9578,1235
204,2022-02-19,1152,2412
205,2022-01-27,6151,8678
206,2022-06-26,1521,2036
207,2021-04-08,551,1306
208,2022-03-30,9848,771
209,2021-12-22,5579,3539
210,2021-12-21,4119,3560
211,2021-03-23,4452,2139
212,2021-11-11,5245,8247
213,2022-10-05,2290,135
214,2023-03-18,3307,7841
215,2021-08-02,2706,1133
216,2023-02-15,2575,6081
217,2022-04-30,5718,5276
218,2022-04-01,6962,4677
219,2022-05-15,1952,2679
220,2022-04-01,7686,6133
221,2021-09-25,4458,4221
222,2022-01-18,264,1107
223,2022-10-30,5605,2009
224,2021-08-22,8051,5199
225,2021-06-13,9892,7068
226,2021-06-18,8553,2031
227,2022-01-30,4517,7615
228,2021-04-08,5022,1923
229,2022-10-02,9734,5947
230,2022-10-13,5947,156
231,2022-09-01,9134,7192
232,2023-02-24,5296,8564
233,2022-01-09,4866,6129
