policy_id,policy_type,policy_start_date,policy_end_date,premium_amount,customer_id
1,HEALTH_INSURANCE,2023-11-01,2024-10-28,3280,9887
2,HEALTH_INSURANCE,2022-04-22,2025-11-25,1777,5374
3,AUTO_INSURANCE,2022-07-01,2025-11-21,3473,5507
4,AUTO_INSURANCE,2022-08-04,2025-11-25,4489,3386
5,AUTO_INSURANCE,2023-12-05,2025-11-30,509,1361
6,HEALTH_INSURANCE,2022-05-05,2027-12-11,3325,5050
7,HEALTH_INSURANCE,2022-12-20,2024-05-20,1646,8896
8,AUTO_INSURANCE,2023-12-28,2026-12-07,3006,1151
9,AUTO_INSURANCE,2023-06-27,2025-07-23,4827,6561
10,AUTO_INSURANCE,2023-03-31,2024-10-18,2431,2905
11,AUTO_INSURANCE,2022-07-16,2025-11-27,1031,7284
12,AUTO_INSURANCE,2024-01-25,2027-04-09,2231,7147
13,HEALTH_INSURANCE,2024-02-27,2027-09-21,4941,8999
14,AUTO_INSURANCE,2023-03-04,2025-08-27,2338,6207
15,HEALTH_INSURANCE,2022-06-20,2027-02-14,3117,980
16,LIFE_INSURANCE,2022-05-06,2027-09-29,2147,78
17,AUTO_INSURANCE,2024-01-21,2027-07-12,2865,1296
18,HEALTH_INSURANCE,2022-09-22,2026-01-19,4051,3140
19,HEALTH_INSURANCE,2022-06-25,2027-03-08,4206,8064
20,LIFE_INSURANCE,2023-04-27,2025-08-09,2879,3744
21,AUTO_INSURANCE,2023-06-30,2024-09-25,1347,9009
22,HEALTH_INSURANCE,2022-04-25,2025-04-25,3627,1865
23,AUTO_INSURANCE,2022-09-03,2027-07-15,4195,2200
24,HEALTH_INSURANCE,2024-02-09,2027-12-22,3495,8369
25,HEALTH_INSURANCE,2022-07-31,2024-06-17,3546,3862
26,AUTO_INSURANCE,2023-05-11,2027-10-28,1962,80
27,HEALTH_INSURANCE,2022-09-29,2027-09-18,930,5315
28,LIFE_INSURANCE,2023-08-05,2026-07-20,1017,6269
29,HEALTH_INSURANCE,2023-07-20,2027-01-06,2806,2317
30,LIFE_INSURANCE,2022-05-31,2027-07-19,4984,1208
31,LIFE_INSURANCE,2023-04-05,2024-05-07,1256,1337
32,LIFE_INSURANCE,2023-10-28,2025-09-17,4960,8979
33,AUTO_INSURANCE,2024-02-09,2026-11-11,3663,2670
34,HEALTH_INSURANCE,2023-06-30,2027-05-17,3469,2471
35,AUTO_INSURANCE,2022-12-05,2025-12-02,1131,6446
36,LIFE_INSURANCE,2023-07-06,2024-08-19,2645,9628
37,LIFE_INSURANCE,2023-12-08,2024-10-11,1132,1187
38,LIFE_INSURANCE,2023-02-25,2026-02-23,501,2406
39,LIFE_INSURANCE,2022-07-27,2027-11-20,3273,4665
40,LIFE_INSURANCE,2023-01-31,2024-09-23,2453,256
41,HEALTH_INSURANCE,2022-11-01,2027-12-30,760,7472
42,HEALTH_INSURANCE,2023-01-27,2024-10-19,4367,2914
43,HEALTH_INSURANCE,2022-10-11,2024-12-04,2486,9671
44,AUTO_INSURANCE,2022-06-29,2025-11-30,1152,5531
45,AUTO_INSURANCE,2024-02-03,2025-11-20,2001,5749
46,HEALTH_INSURANCE,2023-12-01,2024-11-20,1084,1729
47,LIFE_INSURANCE,2023-04-26,2025-06-03,3267,1053
48,HEALTH_INSURANCE,2022-08-28,2024-08-13,1662,505
49,HEALTH_INSURANCE,2022-03-22,2027-06-01,3310,5651
50,AUTO_INSURANCE,2023-06-07,2027-03-13,2549,6169
51,LIFE_INSURANCE,2023-12-04,2024-04-09,877,7242
52,AUTO_INSURANCE,2022-11-16,2026-08-12,1486,6102
53,LIFE_INSURANCE,2023-11-01,2026-02-06,4548,851
54,LIFE_INSURANCE,2023-11-17,2027-02-17,4631,9972
55,LIFE_INSURANCE,2023-08-14,2025-10-04,753,3826
